;results
1-0-0-0-0-0-0-0-0-0;0.60751
0-1-0-0-0-0-0-0-0-0;0.60947
0-0-1-0-0-0-0-0-0-0;0.62602
0-0-0-1-0-0-0-0-0-0;0.61085
0-0-0-0-1-0-0-0-0-0;0.60811
0-0-0-0-0-1-0-0-0-0;0.57086
0-0-0-0-0-0-1-0-0-0;0.61245
0-0-0-0-0-0-0-1-0-0;0.54612
0-0-0-0-0-0-0-0-1-0;0.59637
0-0-0-0-0-0-0-0-0-1;0.61946
