;results
1-0-0-0-0-0-0-0-0-0;0.04369
0-1-0-0-0-0-0-0-0-0;0.04291
0-0-1-0-0-0-0-0-0-0;0.04337
0-0-0-1-0-0-0-0-0-0;0.04497
0-0-0-0-1-0-0-0-0-0;0.04257
0-0-0-0-0-1-0-0-0-0;0.04581
0-0-0-0-0-0-1-0-0-0;0.04502
0-0-0-0-0-0-0-1-0-0;0.04283
0-0-0-0-0-0-0-0-1-0;0.04365
0-0-0-0-0-0-0-0-0-1;0.04248
