;results
1-0-0-0-0-0-0-0-0-0;0.05416
0-1-0-0-0-0-0-0-0-0;0.05401
0-0-1-0-0-0-0-0-0-0;0.05103
0-0-0-1-0-0-0-0-0-0;0.05412
0-0-0-0-1-0-0-0-0-0;0.05121
0-0-0-0-0-1-0-0-0-0;0.05824
0-0-0-0-0-0-1-0-0-0;0.05340
0-0-0-0-0-0-0-1-0-0;0.05854
0-0-0-0-0-0-0-0-1-0;0.05521
0-0-0-0-0-0-0-0-0-1;0.05099
