;results
1-0-0-0-0-0-0-0-0-0;144
0-1-0-0-0-0-0-0-0-0;140
0-0-1-0-0-0-0-0-0-0;135
0-0-0-1-0-0-0-0-0-0;135
0-0-0-0-1-0-0-0-0-0;139
0-0-0-0-0-1-0-0-0-0;147
0-0-0-0-0-0-1-0-0-0;140
0-0-0-0-0-0-0-1-0-0;144
0-0-0-0-0-0-0-0-1-0;138
0-0-0-0-0-0-0-0-0-1;132
