;results
1-0-0-0-0-0-0-0-0-0;1285
0-1-0-0-0-0-0-0-0-0;1092
0-0-1-0-0-0-0-0-0-0;925
0-0-0-1-0-0-0-0-0-0;966
0-0-0-0-1-0-0-0-0-0;1053
0-0-0-0-0-1-0-0-0-0;1257
0-0-0-0-0-0-1-0-0-0;981
0-0-0-0-0-0-0-1-0-0;1109
0-0-0-0-0-0-0-0-1-0;1190
0-0-0-0-0-0-0-0-0-1;957
