;results
1-0-0-0-0-0-0-0-0-0;0.08144
0-1-0-0-0-0-0-0-0-0;0.10325
0-0-1-0-0-0-0-0-0-0;0.10019
0-0-0-1-0-0-0-0-0-0;0.09531
0-0-0-0-1-0-0-0-0-0;0.09667
0-0-0-0-0-1-0-0-0-0;0.09447
0-0-0-0-0-0-1-0-0-0;0.10045
0-0-0-0-0-0-0-1-0-0;0.10149
0-0-0-0-0-0-0-0-1-0;0.09697
0-0-0-0-0-0-0-0-0-1;0.09433
