;results
1-0-0-0-0-0-0-0-0-0;0.31094
0-1-0-0-0-0-0-0-0-0;0.30721
0-0-1-0-0-0-0-0-0-0;0.30841
0-0-0-1-0-0-0-0-0-0;0.31000
0-0-0-0-1-0-0-0-0-0;0.31410
0-0-0-0-0-1-0-0-0-0;0.30784
0-0-0-0-0-0-1-0-0-0;0.30679
0-0-0-0-0-0-0-1-0-0;0.31035
0-0-0-0-0-0-0-0-1-0;0.31099
0-0-0-0-0-0-0-0-0-1;0.30225
