;results
1-0-0-0-0-0-0-0-0-0;0.05002
0-1-0-0-0-0-0-0-0-0;0.04892
0-0-1-0-0-0-0-0-0-0;0.04952
0-0-0-1-0-0-0-0-0-0;0.05121
0-0-0-0-1-0-0-0-0-0;0.04877
0-0-0-0-0-1-0-0-0-0;0.05256
0-0-0-0-0-0-1-0-0-0;0.05117
0-0-0-0-0-0-0-1-0-0;0.04888
0-0-0-0-0-0-0-0-1-0;0.04994
0-0-0-0-0-0-0-0-0-1;0.04859
