network_order;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95
hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;0.05173;0.05144;0.05110;0.05088;0.05077;0.05049;0.05011;0.04984;0.04952;0.04900;0.04841;0.04784;0.04688;0.04529;0.04369;0.04083
detectors_htc_r101_20e_coco;0.05070;0.05048;0.05018;0.05011;0.04996;0.04971;0.04929;0.04884;0.04859;0.04822;0.04775;0.04737;0.04642;0.04548;0.04440;0.04218
cascade_mask_rcnn_X-101-64x4d-FPN;0.05111;0.05101;0.05092;0.05066;0.05029;0.05002;0.04966;0.04934;0.04892;0.04848;0.04806;0.04736;0.04651;0.04556;0.04379;0.04142
cascade_mask_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco;0.05361;0.05326;0.05313;0.05272;0.05250;0.05217;0.05191;0.05146;0.05117;0.05092;0.05036;0.04965;0.04888;0.04769;0.04587;0.04293
gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);0.05329;0.05327;0.05309;0.05288;0.05251;0.05206;0.05185;0.05129;0.05121;0.05055;0.05011;0.04938;0.04866;0.04777;0.04625;0.04312
