;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;2093
1-2-3-5-4;2093
1-2-4-3-5;2133
1-2-5-3-4;2133
1-2-4-5-3;2168
1-2-5-4-3;2168
1-3-2-4-5;2091
1-3-2-5-4;2091
1-4-2-3-5;2085
1-5-2-3-4;2085
1-4-2-5-3;2121
1-5-2-4-3;2121
1-3-4-2-5;2137
1-3-5-2-4;2137
1-4-3-2-5;2106
1-5-3-2-4;2106
1-4-5-2-3;2178
1-5-4-2-3;2178
1-3-4-5-2;2194
1-3-5-4-2;2194
1-4-3-5-2;2147
1-5-3-4-2;2147
1-4-5-3-2;2185
1-5-4-3-2;2185
2-1-3-4-5;2088
2-1-3-5-4;2088
2-1-4-3-5;2129
2-1-5-3-4;2129
2-1-4-5-3;2163
2-1-5-4-3;2163
3-1-2-4-5;2066
3-1-2-5-4;2066
4-1-2-3-5;2044
5-1-2-3-4;2044
4-1-2-5-3;2066
5-1-2-4-3;2066
3-1-4-2-5;2121
3-1-5-2-4;2121
4-1-3-2-5;2066
5-1-3-2-4;2066
4-1-5-2-3;2108
5-1-4-2-3;2108
3-1-4-5-2;2162
3-1-5-4-2;2162
4-1-3-5-2;2097
5-1-3-4-2;2097
4-1-5-3-2;2123
5-1-4-3-2;2123
2-3-1-4-5;2081
2-3-1-5-4;2081
2-4-1-3-5;2078
2-5-1-3-4;2078
2-4-1-5-3;2113
2-5-1-4-3;2113
3-2-1-4-5;2074
3-2-1-5-4;2074
4-2-1-3-5;2053
5-2-1-3-4;2053
4-2-1-5-3;2074
5-2-1-4-3;2074
3-4-1-2-5;2085
3-5-1-2-4;2085
4-3-1-2-5;2062
5-3-1-2-4;2062
4-5-1-2-3;2158
5-4-1-2-3;2158
3-4-1-5-2;2124
3-5-1-4-2;2124
4-3-1-5-2;2106
5-3-1-4-2;2106
4-5-1-3-2;2166
5-4-1-3-2;2166
2-3-4-1-5;2140
2-3-5-1-4;2140
2-4-3-1-5;2108
2-5-3-1-4;2108
2-4-5-1-3;2181
2-5-4-1-3;2181
3-2-4-1-5;2123
3-2-5-1-4;2123
4-2-3-1-5;2068
5-2-3-1-4;2068
4-2-5-1-3;2110
5-2-4-1-3;2110
3-4-2-1-5;2100
3-5-2-1-4;2100
4-3-2-1-5;2078
5-3-2-1-4;2078
4-5-2-1-3;2172
5-4-2-1-3;2172
3-4-5-1-2;2190
3-5-4-1-2;2190
4-3-5-1-2;2136
5-3-4-1-2;2136
4-5-3-1-2;2183
5-4-3-1-2;2183
2-3-4-5-1;2197
2-3-5-4-1;2197
2-4-3-5-1;2151
2-5-3-4-1;2151
2-4-5-3-1;2189
2-5-4-3-1;2189
3-2-4-5-1;2171
3-2-5-4-1;2171
4-2-3-5-1;2104
5-2-3-4-1;2104
4-2-5-3-1;2131
5-2-4-3-1;2131
3-4-2-5-1;2138
3-5-2-4-1;2138
4-3-2-5-1;2120
5-3-2-4-1;2120
4-5-2-3-1;2184
5-4-2-3-1;2184
3-4-5-2-1;2189
3-5-4-2-1;2189
4-3-5-2-1;2135
5-3-4-2-1;2135
4-5-3-2-1;2182
5-4-3-2-1;2182
