;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;15
1-2-3-5-4;15
1-2-4-3-5;6
1-2-5-3-4;6
1-2-4-5-3;13
1-2-5-4-3;13
1-3-2-4-5;15
1-3-2-5-4;15
1-4-2-3-5;15
1-5-2-3-4;15
1-4-2-5-3;15
1-5-2-4-3;15
1-3-4-2-5;4
1-3-5-2-4;4
1-4-3-2-5;4
1-5-3-2-4;4
1-4-5-2-3;4
1-5-4-2-3;4
1-3-4-5-2;13
1-3-5-4-2;13
1-4-3-5-2;13
1-5-3-4-2;13
1-4-5-3-2;11
1-5-4-3-2;11
2-1-3-4-5;15
2-1-3-5-4;15
2-1-4-3-5;6
2-1-5-3-4;6
2-1-4-5-3;13
2-1-5-4-3;13
3-1-2-4-5;15
3-1-2-5-4;15
4-1-2-3-5;15
5-1-2-3-4;15
4-1-2-5-3;15
5-1-2-4-3;15
3-1-4-2-5;6
3-1-5-2-4;6
4-1-3-2-5;6
5-1-3-2-4;6
4-1-5-2-3;6
5-1-4-2-3;6
3-1-4-5-2;13
3-1-5-4-2;13
4-1-3-5-2;13
5-1-3-4-2;13
4-1-5-3-2;13
5-1-4-3-2;13
2-3-1-4-5;14
2-3-1-5-4;14
2-4-1-3-5;14
2-5-1-3-4;14
2-4-1-5-3;14
2-5-1-4-3;14
3-2-1-4-5;14
3-2-1-5-4;14
4-2-1-3-5;14
5-2-1-3-4;14
4-2-1-5-3;14
5-2-1-4-3;14
3-4-1-2-5;16
3-5-1-2-4;16
4-3-1-2-5;16
5-3-1-2-4;16
4-5-1-2-3;11
5-4-1-2-3;11
3-4-1-5-2;16
3-5-1-4-2;16
4-3-1-5-2;16
5-3-1-4-2;16
4-5-1-3-2;11
5-4-1-3-2;11
2-3-4-1-5;4
2-3-5-1-4;4
2-4-3-1-5;4
2-5-3-1-4;4
2-4-5-1-3;4
2-5-4-1-3;4
3-2-4-1-5;7
3-2-5-1-4;7
4-2-3-1-5;7
5-2-3-1-4;7
4-2-5-1-3;7
5-2-4-1-3;7
3-4-2-1-5;8
3-5-2-1-4;8
4-3-2-1-5;8
5-3-2-1-4;8
4-5-2-1-3;3
5-4-2-1-3;3
3-4-5-1-2;6
3-5-4-1-2;6
4-3-5-1-2;9
5-3-4-1-2;9
4-5-3-1-2;3
5-4-3-1-2;3
2-3-4-5-1;13
2-3-5-4-1;13
2-4-3-5-1;13
2-5-3-4-1;13
2-4-5-3-1;11
2-5-4-3-1;11
3-2-4-5-1;13
3-2-5-4-1;13
4-2-3-5-1;13
5-2-3-4-1;13
4-2-5-3-1;13
5-2-4-3-1;13
3-4-2-5-1;14
3-5-2-4-1;14
4-3-2-5-1;14
5-3-2-4-1;14
4-5-2-3-1;9
5-4-2-3-1;9
3-4-5-2-1;13
3-5-4-2-1;13
4-3-5-2-1;16
5-3-4-2-1;16
4-5-3-2-1;10
5-4-3-2-1;10
