;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;131
1-2-3-5-4;131
1-2-4-3-5;125
1-2-5-3-4;125
1-2-4-5-3;120
1-2-5-4-3;120
1-3-2-4-5;134
1-3-2-5-4;134
1-4-2-3-5;137
1-5-2-3-4;137
1-4-2-5-3;130
1-5-2-4-3;130
1-3-4-2-5;124
1-3-5-2-4;124
1-4-3-2-5;134
1-5-3-2-4;134
1-4-5-2-3;120
1-5-4-2-3;120
1-3-4-5-2;117
1-3-5-4-2;117
1-4-3-5-2;129
1-5-3-4-2;129
1-4-5-3-2;121
1-5-4-3-2;121
2-1-3-4-5;130
2-1-3-5-4;130
2-1-4-3-5;124
2-1-5-3-4;124
2-1-4-5-3;119
2-1-5-4-3;119
3-1-2-4-5;131
3-1-2-5-4;131
4-1-2-3-5;132
5-1-2-3-4;132
4-1-2-5-3;132
5-1-2-4-3;132
3-1-4-2-5;123
3-1-5-2-4;123
4-1-3-2-5;129
5-1-3-2-4;129
4-1-5-2-3;123
5-1-4-2-3;123
3-1-4-5-2;117
3-1-5-4-2;117
4-1-3-5-2;127
5-1-3-4-2;127
4-1-5-3-2;121
5-1-4-3-2;121
2-3-1-4-5;135
2-3-1-5-4;135
2-4-1-3-5;138
2-5-1-3-4;138
2-4-1-5-3;131
2-5-1-4-3;131
3-2-1-4-5;134
3-2-1-5-4;134
4-2-1-3-5;135
5-2-1-3-4;135
4-2-1-5-3;135
5-2-1-4-3;135
3-4-1-2-5;136
3-5-1-2-4;136
4-3-1-2-5;133
5-3-1-2-4;133
4-5-1-2-3;130
5-4-1-2-3;130
3-4-1-5-2;129
3-5-1-4-2;129
4-3-1-5-2;129
5-3-1-4-2;129
4-5-1-3-2;127
5-4-1-3-2;127
2-3-4-1-5;124
2-3-5-1-4;124
2-4-3-1-5;134
2-5-3-1-4;134
2-4-5-1-3;120
2-5-4-1-3;120
3-2-4-1-5;123
3-2-5-1-4;123
4-2-3-1-5;129
5-2-3-1-4;129
4-2-5-1-3;123
5-2-4-1-3;123
3-4-2-1-5;135
3-5-2-1-4;135
4-3-2-1-5;132
5-3-2-1-4;132
4-5-2-1-3;129
5-4-2-1-3;129
3-4-5-1-2;120
3-5-4-1-2;120
4-3-5-1-2;121
5-3-4-1-2;121
4-5-3-1-2;126
5-4-3-1-2;126
2-3-4-5-1;116
2-3-5-4-1;116
2-4-3-5-1;128
2-5-3-4-1;128
2-4-5-3-1;120
2-5-4-3-1;120
3-2-4-5-1;116
3-2-5-4-1;116
4-2-3-5-1;126
5-2-3-4-1;126
4-2-5-3-1;120
5-2-4-3-1;120
3-4-2-5-1;129
3-5-2-4-1;129
4-3-2-5-1;129
5-3-2-4-1;129
4-5-2-3-1;127
5-4-2-3-1;127
3-4-5-2-1;120
3-5-4-2-1;120
4-3-5-2-1;121
5-3-4-2-1;121
4-5-3-2-1;126
5-4-3-2-1;126
