;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;0.16568
1-2-3-5-4;0.16568
1-2-4-3-5;0.15569
1-2-5-3-4;0.15569
1-2-4-5-3;0.15060
1-2-5-4-3;0.15060
1-3-2-4-5;0.16814
1-3-2-5-4;0.16814
1-4-2-3-5;0.16814
1-5-2-3-4;0.16814
1-4-2-5-3;0.17059
1-5-2-4-3;0.17059
1-3-4-2-5;0.15315
1-3-5-2-4;0.15315
1-4-3-2-5;0.16320
1-5-3-2-4;0.16320
1-4-5-2-3;0.14545
1-5-4-2-3;0.14545
1-3-4-5-2;0.15060
1-3-5-4-2;0.15060
1-4-3-5-2;0.15569
1-5-3-4-2;0.15569
1-4-5-3-2;0.14804
1-5-4-3-2;0.14804
2-1-3-4-5;0.18497
2-1-3-5-4;0.18497
2-1-4-3-5;0.17544
2-1-5-3-4;0.17544
2-1-4-5-3;0.17059
2-1-5-4-3;0.17059
3-1-2-4-5;0.18497
3-1-2-5-4;0.18497
4-1-2-3-5;0.18732
5-1-2-3-4;0.18732
4-1-2-5-3;0.18732
5-1-2-4-3;0.18732
3-1-4-2-5;0.17302
3-1-5-2-4;0.17302
4-1-3-2-5;0.18023
5-1-3-2-4;0.18023
4-1-5-2-3;0.17544
5-1-4-2-3;0.17544
3-1-4-5-2;0.16568
3-1-5-4-2;0.16568
4-1-3-5-2;0.17544
5-1-3-4-2;0.17544
4-1-5-3-2;0.17784
5-1-4-3-2;0.17784
2-3-1-4-5;0.17059
2-3-1-5-4;0.17059
2-4-1-3-5;0.17059
2-5-1-3-4;0.17059
2-4-1-5-3;0.17302
2-5-1-4-3;0.17302
3-2-1-4-5;0.18023
3-2-1-5-4;0.18023
4-2-1-3-5;0.18261
5-2-1-3-4;0.18261
4-2-1-5-3;0.18261
5-2-1-4-3;0.18261
3-4-1-2-5;0.16071
3-5-1-2-4;0.16071
4-3-1-2-5;0.17302
5-3-1-2-4;0.17302
4-5-1-2-3;0.14286
5-4-1-2-3;0.14286
3-4-1-5-2;0.16568
3-5-1-4-2;0.16568
4-3-1-5-2;0.16320
5-3-1-4-2;0.16320
4-5-1-3-2;0.14545
5-4-1-3-2;0.14545
2-3-4-1-5;0.15315
2-3-5-1-4;0.15315
2-4-3-1-5;0.16071
2-5-3-1-4;0.16071
2-4-5-1-3;0.14545
2-5-4-1-3;0.14545
3-2-4-1-5;0.17302
3-2-5-1-4;0.17302
4-2-3-1-5;0.18023
5-2-3-1-4;0.18023
4-2-5-1-3;0.17544
5-2-4-1-3;0.17544
3-4-2-1-5;0.15569
3-5-2-1-4;0.15569
4-3-2-1-5;0.16814
5-3-2-1-4;0.16814
4-5-2-1-3;0.13761
5-4-2-1-3;0.13761
3-4-5-1-2;0.15315
3-5-4-1-2;0.15315
4-3-5-1-2;0.15821
5-3-4-1-2;0.15821
4-5-3-1-2;0.13231
5-4-3-1-2;0.13231
2-3-4-5-1;0.15569
2-3-5-4-1;0.15569
2-4-3-5-1;0.16071
2-5-3-4-1;0.16071
2-4-5-3-1;0.15315
2-5-4-3-1;0.15315
3-2-4-5-1;0.15060
3-2-5-4-1;0.15060
4-2-3-5-1;0.16071
5-2-3-4-1;0.16071
4-2-5-3-1;0.16320
5-2-4-3-1;0.16320
3-4-2-5-1;0.15569
3-5-2-4-1;0.15569
4-3-2-5-1;0.15569
5-3-2-4-1;0.15569
4-5-2-3-1;0.13761
5-4-2-3-1;0.13761
3-4-5-2-1;0.15569
3-5-4-2-1;0.15569
4-3-5-2-1;0.16071
5-3-4-2-1;0.16071
4-5-3-2-1;0.13497
5-4-3-2-1;0.13497
