;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;8765
1-2-3-5-4;8765
1-2-4-3-5;8734
1-2-5-3-4;8734
1-2-4-5-3;8702
1-2-5-4-3;8702
1-3-2-4-5;8764
1-3-2-5-4;8764
1-4-2-3-5;8768
1-5-2-3-4;8768
1-4-2-5-3;8739
1-5-2-4-3;8739
1-3-4-2-5;8732
1-3-5-2-4;8732
1-4-3-2-5;8753
1-5-3-2-4;8753
1-4-5-2-3;8695
1-5-4-2-3;8695
1-3-4-5-2;8680
1-3-5-4-2;8680
1-4-3-5-2;8715
1-5-3-4-2;8715
1-4-5-3-2;8686
1-5-4-3-2;8686
2-1-3-4-5;8771
2-1-3-5-4;8771
2-1-4-3-5;8739
2-1-5-3-4;8739
2-1-4-5-3;8708
2-1-5-4-3;8708
3-1-2-4-5;8792
3-1-2-5-4;8792
4-1-2-3-5;8813
5-1-2-3-4;8813
4-1-2-5-3;8791
5-1-2-4-3;8791
3-1-4-2-5;8748
3-1-5-2-4;8748
4-1-3-2-5;8797
5-1-3-2-4;8797
4-1-5-2-3;8761
5-1-4-2-3;8761
3-1-4-5-2;8711
3-1-5-4-2;8711
4-1-3-5-2;8766
5-1-3-4-2;8766
4-1-5-3-2;8746
5-1-4-3-2;8746
2-3-1-4-5;8774
2-3-1-5-4;8774
2-4-1-3-5;8775
2-5-1-3-4;8775
2-4-1-5-3;8747
2-5-1-4-3;8747
3-2-1-4-5;8782
3-2-1-5-4;8782
4-2-1-3-5;8802
5-2-1-3-4;8802
4-2-1-5-3;8781
5-2-1-4-3;8781
3-4-1-2-5;8770
3-5-1-2-4;8770
4-3-1-2-5;8795
5-3-1-2-4;8795
4-5-1-2-3;8704
5-4-1-2-3;8704
3-4-1-5-2;8738
3-5-1-4-2;8738
4-3-1-5-2;8755
5-3-1-4-2;8755
4-5-1-3-2;8699
5-4-1-3-2;8699
2-3-4-1-5;8729
2-3-5-1-4;8729
2-4-3-1-5;8751
2-5-3-1-4;8751
2-4-5-1-3;8692
2-5-4-1-3;8692
3-2-4-1-5;8746
3-2-5-1-4;8746
4-2-3-1-5;8795
5-2-3-1-4;8795
4-2-5-1-3;8759
5-2-4-1-3;8759
3-4-2-1-5;8758
3-5-2-1-4;8758
4-3-2-1-5;8782
5-3-2-1-4;8782
4-5-2-1-3;8693
5-4-2-1-3;8693
3-4-5-1-2;8683
3-5-4-1-2;8683
4-3-5-1-2;8734
5-3-4-1-2;8734
4-5-3-1-2;8684
5-4-3-1-2;8684
2-3-4-5-1;8678
2-3-5-4-1;8678
2-4-3-5-1;8712
2-5-3-4-1;8712
2-4-5-3-1;8683
2-5-4-3-1;8683
3-2-4-5-1;8703
3-2-5-4-1;8703
4-2-3-5-1;8760
5-2-3-4-1;8760
4-2-5-3-1;8739
5-2-4-3-1;8739
3-4-2-5-1;8724
3-5-2-4-1;8724
4-3-2-5-1;8741
5-3-2-4-1;8741
4-5-2-3-1;8681
5-4-2-3-1;8681
3-4-5-2-1;8683
3-5-4-2-1;8683
4-3-5-2-1;8734
5-3-4-2-1;8734
4-5-3-2-1;8684
5-4-3-2-1;8684
