;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;15
1-2-3-5-4;15
1-2-4-3-5;14
1-2-5-3-4;14
1-2-4-5-3;15
1-2-5-4-3;15
1-3-2-4-5;13
1-3-2-5-4;13
1-4-2-3-5;10
1-5-2-3-4;10
1-4-2-5-3;12
1-5-2-4-3;12
1-3-4-2-5;14
1-3-5-2-4;14
1-4-3-2-5;11
1-5-3-2-4;11
1-4-5-2-3;13
1-5-4-2-3;13
1-3-4-5-2;14
1-3-5-4-2;14
1-4-3-5-2;15
1-5-3-4-2;15
1-4-5-3-2;14
1-5-4-3-2;14
2-1-3-4-5;12
2-1-3-5-4;12
2-1-4-3-5;11
2-1-5-3-4;11
2-1-4-5-3;12
2-1-5-4-3;12
3-1-2-4-5;12
3-1-2-5-4;12
4-1-2-3-5;11
5-1-2-3-4;11
4-1-2-5-3;11
5-1-2-4-3;11
3-1-4-2-5;11
3-1-5-2-4;11
4-1-3-2-5;10
5-1-3-2-4;10
4-1-5-2-3;10
5-1-4-2-3;10
3-1-4-5-2;12
3-1-5-4-2;12
4-1-3-5-2;11
5-1-3-4-2;11
4-1-5-3-2;11
5-1-4-3-2;11
2-3-1-4-5;11
2-3-1-5-4;11
2-4-1-3-5;8
2-5-1-3-4;8
2-4-1-5-3;10
2-5-1-4-3;10
3-2-1-4-5;9
3-2-1-5-4;9
4-2-1-3-5;8
5-2-1-3-4;8
4-2-1-5-3;8
5-2-1-4-3;8
3-4-1-2-5;8
3-5-1-2-4;8
4-3-1-2-5;8
5-3-1-2-4;8
4-5-1-2-3;8
5-4-1-2-3;8
3-4-1-5-2;9
3-5-1-4-2;9
4-3-1-5-2;8
5-3-1-4-2;8
4-5-1-3-2;8
5-4-1-3-2;8
2-3-4-1-5;14
2-3-5-1-4;14
2-4-3-1-5;11
2-5-3-1-4;11
2-4-5-1-3;13
2-5-4-1-3;13
3-2-4-1-5;12
3-2-5-1-4;12
4-2-3-1-5;11
5-2-3-1-4;11
4-2-5-1-3;11
5-2-4-1-3;11
3-4-2-1-5;8
3-5-2-1-4;8
4-3-2-1-5;8
5-3-2-1-4;8
4-5-2-1-3;8
5-4-2-1-3;8
3-4-5-1-2;12
3-5-4-1-2;12
4-3-5-1-2;13
5-3-4-1-2;13
4-5-3-1-2;11
5-4-3-1-2;11
2-3-4-5-1;12
2-3-5-4-1;12
2-4-3-5-1;13
2-5-3-4-1;13
2-4-5-3-1;12
2-5-4-3-1;12
3-2-4-5-1;13
3-2-5-4-1;13
4-2-3-5-1;12
5-2-3-4-1;12
4-2-5-3-1;12
5-2-4-3-1;12
3-4-2-5-1;12
3-5-2-4-1;12
4-3-2-5-1;11
5-3-2-4-1;11
4-5-2-3-1;11
5-4-2-3-1;11
3-4-5-2-1;12
3-5-4-2-1;12
4-3-5-2-1;13
5-3-4-2-1;13
4-5-3-2-1;11
5-4-3-2-1;11
