;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;56
1-2-3-5-4;56
1-2-4-3-5;52
1-2-5-3-4;52
1-2-4-5-3;50
1-2-5-4-3;50
1-3-2-4-5;57
1-3-2-5-4;57
1-4-2-3-5;57
1-5-2-3-4;57
1-4-2-5-3;58
1-5-2-4-3;58
1-3-4-2-5;51
1-3-5-2-4;51
1-4-3-2-5;55
1-5-3-2-4;55
1-4-5-2-3;48
1-5-4-2-3;48
1-3-4-5-2;50
1-3-5-4-2;50
1-4-3-5-2;52
1-5-3-4-2;52
1-4-5-3-2;49
1-5-4-3-2;49
2-1-3-4-5;64
2-1-3-5-4;64
2-1-4-3-5;60
2-1-5-3-4;60
2-1-4-5-3;58
2-1-5-4-3;58
3-1-2-4-5;64
3-1-2-5-4;64
4-1-2-3-5;65
5-1-2-3-4;65
4-1-2-5-3;65
5-1-2-4-3;65
3-1-4-2-5;59
3-1-5-2-4;59
4-1-3-2-5;62
5-1-3-2-4;62
4-1-5-2-3;60
5-1-4-2-3;60
3-1-4-5-2;56
3-1-5-4-2;56
4-1-3-5-2;60
5-1-3-4-2;60
4-1-5-3-2;61
5-1-4-3-2;61
2-3-1-4-5;58
2-3-1-5-4;58
2-4-1-3-5;58
2-5-1-3-4;58
2-4-1-5-3;59
2-5-1-4-3;59
3-2-1-4-5;62
3-2-1-5-4;62
4-2-1-3-5;63
5-2-1-3-4;63
4-2-1-5-3;63
5-2-1-4-3;63
3-4-1-2-5;54
3-5-1-2-4;54
4-3-1-2-5;59
5-3-1-2-4;59
4-5-1-2-3;47
5-4-1-2-3;47
3-4-1-5-2;56
3-5-1-4-2;56
4-3-1-5-2;55
5-3-1-4-2;55
4-5-1-3-2;48
5-4-1-3-2;48
2-3-4-1-5;51
2-3-5-1-4;51
2-4-3-1-5;54
2-5-3-1-4;54
2-4-5-1-3;48
2-5-4-1-3;48
3-2-4-1-5;59
3-2-5-1-4;59
4-2-3-1-5;62
5-2-3-1-4;62
4-2-5-1-3;60
5-2-4-1-3;60
3-4-2-1-5;52
3-5-2-1-4;52
4-3-2-1-5;57
5-3-2-1-4;57
4-5-2-1-3;45
5-4-2-1-3;45
3-4-5-1-2;51
3-5-4-1-2;51
4-3-5-1-2;53
5-3-4-1-2;53
4-5-3-1-2;43
5-4-3-1-2;43
2-3-4-5-1;52
2-3-5-4-1;52
2-4-3-5-1;54
2-5-3-4-1;54
2-4-5-3-1;51
2-5-4-3-1;51
3-2-4-5-1;50
3-2-5-4-1;50
4-2-3-5-1;54
5-2-3-4-1;54
4-2-5-3-1;55
5-2-4-3-1;55
3-4-2-5-1;52
3-5-2-4-1;52
4-3-2-5-1;52
5-3-2-4-1;52
4-5-2-3-1;45
5-4-2-3-1;45
3-4-5-2-1;52
3-5-4-2-1;52
4-3-5-2-1;54
5-3-4-2-1;54
4-5-3-2-1;44
5-4-3-2-1;44
