;ordered_coco_average_c=_v=0_d=0.5_a=0
1-2-3-4-5;33
1-2-3-5-4;33
1-2-4-3-5;23
1-2-5-3-4;23
1-2-4-5-3;23
1-2-5-4-3;23
1-3-2-4-5;33
1-3-2-5-4;33
1-4-2-3-5;33
1-5-2-3-4;33
1-4-2-5-3;33
1-5-2-4-3;33
1-3-4-2-5;20
1-3-5-2-4;20
1-4-3-2-5;20
1-5-3-2-4;20
1-4-5-2-3;20
1-5-4-2-3;20
1-3-4-5-2;23
1-3-5-4-2;23
1-4-3-5-2;23
1-5-3-4-2;23
1-4-5-3-2;20
1-5-4-3-2;20
2-1-3-4-5;33
2-1-3-5-4;33
2-1-4-3-5;23
2-1-5-3-4;23
2-1-4-5-3;23
2-1-5-4-3;23
3-1-2-4-5;33
3-1-2-5-4;33
4-1-2-3-5;33
5-1-2-3-4;33
4-1-2-5-3;33
5-1-2-4-3;33
3-1-4-2-5;23
3-1-5-2-4;23
4-1-3-2-5;23
5-1-3-2-4;23
4-1-5-2-3;23
5-1-4-2-3;23
3-1-4-5-2;23
3-1-5-4-2;23
4-1-3-5-2;23
5-1-3-4-2;23
4-1-5-3-2;23
5-1-4-3-2;23
2-3-1-4-5;30
2-3-1-5-4;30
2-4-1-3-5;30
2-5-1-3-4;30
2-4-1-5-3;30
2-5-1-4-3;30
3-2-1-4-5;30
3-2-1-5-4;30
4-2-1-3-5;30
5-2-1-3-4;30
4-2-1-5-3;30
5-2-1-4-3;30
3-4-1-2-5;30
3-5-1-2-4;30
4-3-1-2-5;30
5-3-1-2-4;30
4-5-1-2-3;29
5-4-1-2-3;29
3-4-1-5-2;30
3-5-1-4-2;30
4-3-1-5-2;30
5-3-1-4-2;30
4-5-1-3-2;29
5-4-1-3-2;29
2-3-4-1-5;20
2-3-5-1-4;20
2-4-3-1-5;20
2-5-3-1-4;20
2-4-5-1-3;20
2-5-4-1-3;20
3-2-4-1-5;23
3-2-5-1-4;23
4-2-3-1-5;23
5-2-3-1-4;23
4-2-5-1-3;23
5-2-4-1-3;23
3-4-2-1-5;20
3-5-2-1-4;20
4-3-2-1-5;20
5-3-2-1-4;20
4-5-2-1-3;19
5-4-2-1-3;19
3-4-5-1-2;20
3-5-4-1-2;20
4-3-5-1-2;23
5-3-4-1-2;23
4-5-3-1-2;19
5-4-3-1-2;19
2-3-4-5-1;23
2-3-5-4-1;23
2-4-3-5-1;23
2-5-3-4-1;23
2-4-5-3-1;20
2-5-4-3-1;20
3-2-4-5-1;23
3-2-5-4-1;23
4-2-3-5-1;23
5-2-3-4-1;23
4-2-5-3-1;23
5-2-4-3-1;23
3-4-2-5-1;20
3-5-2-4-1;20
4-3-2-5-1;20
5-3-2-4-1;20
4-5-2-3-1;19
5-4-2-3-1;19
3-4-5-2-1;20
3-5-4-2-1;20
4-3-5-2-1;23
5-3-4-2-1;23
4-5-3-2-1;19
5-4-3-2-1;19
