hybrid_task_cascade_mask_rcnn_X-101-64x4d-FPN;detectors_htc_r101_20e_coco;cascade_mask_rcnn_X-101-64x4d-FPN;cascade_mask_rcnn_x101_32x4d_fpn_dconv_c3-c5_1x_coco;gcnet_X-101-FPN_DCN_Cascade_Mask_GC(c3-c5,r4);tp%;tp_s%;tp_m%;tp_l%;fp%;fp_s%;fp_m%;fp_l%;tn%;tn_s%;tn_m%;tn_l%;fn%;fn_s%;fn_m%;fn_l%;oa_full;oa_correct;p_full;p_correct;r_full;r_correct;f1_full;f1_correct;iou_full;iou_correct;cg%;cg_s%;cg_m%;cg_l%;ng%;ng_s%;ng_m%;ng_l%;tcg%;tcg_s%;tcg_m%;tcg_l%;tng%;tng_s%;tng_m%;tng_l%;tig%;tig_s%;tig_m%;tig_l%;ugr11%;ugr11_s%;ugr11_m%;ugr11_l%;ugr31%;ugr31_s%;ugr31_m%;ugr31_l%;ugr13%;ugr13_s%;ugr13_m%;ugr13_l%
1;0;0;0;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.63322;0.00436;1.00000;1.00000;0.36678;0.99564;0.00000;0.00000;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
0;1;0;0;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.62558;0.00422;1.00000;1.00000;0.37442;0.99578;0.00000;0.00000;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
0;0;1;0;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.63322;0.00436;1.00000;1.00000;0.36678;0.99564;0.00000;0.00000;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
0;0;0;1;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.65361;0.00477;1.00000;1.00000;0.34639;0.99523;0.00000;0.00000;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
0;0;0;0;1;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;nan;0.00000;0.00000;0.00000;0.00000;1.00000;1.00000;1.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.62548;0.00422;1.00000;1.00000;0.37452;0.99578;0.00000;0.00000;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf
1;2;0;0;0;0.42319;nan;nan;0.42319;0.03815;nan;nan;0.03815;0.43100;nan;nan;0.43100;0.10766;nan;nan;0.10766;0.40122;0.85420;0.43131;0.91826;0.37471;0.79776;0.39827;0.84791;0.34879;0.74257;0.57872;0.00000;0.00000;0.58301;0.42128;1.00000;1.00000;0.41699;0.46970;0.00000;0.00000;0.53285;0.34192;0.01799;1.00000;0.38111;0.18838;0.98201;0.00000;0.08604;1.12900;inf;inf;0.87670;2.58491;inf;inf;2.30715;1.93111;inf;inf;1.19965
1;0;2;0;0;0.43243;nan;nan;0.43243;0.05086;nan;nan;0.05086;0.42329;nan;nan;0.42329;0.09343;nan;nan;0.09343;0.45871;0.85572;0.48032;0.89603;0.44140;0.82341;0.45678;0.85210;0.40144;0.74887;0.60970;0.00000;0.00000;0.61422;0.39030;1.00000;1.00000;0.38578;0.53606;0.00000;0.00000;0.53955;0.34316;1.00000;1.00000;0.33888;0.12079;0.00000;0.00000;0.12157;0.86547;inf;inf;0.85339;2.14577;inf;inf;2.10954;1.31612;inf;inf;1.30404
1;0;0;2;0;0.42528;nan;nan;0.42528;0.04028;nan;nan;0.04028;0.43008;nan;nan;0.43008;0.10436;nan;nan;0.10436;0.39236;0.85536;0.41944;0.91438;0.36837;0.80304;0.38966;0.84947;0.34164;0.74479;0.55155;0.00000;0.00000;0.55564;0.44845;1.00000;1.00000;0.44436;0.45871;0.00000;0.00000;0.51469;0.37297;0.02016;1.00000;0.41161;0.16832;0.97984;0.00000;0.07370;1.18002;inf;inf;0.94291;2.80617;inf;inf;2.54236;1.91390;inf;inf;1.22928
1;0;0;0;2;0.42332;nan;nan;0.42332;0.04038;nan;nan;0.04038;0.42905;nan;nan;0.42905;0.10725;nan;nan;0.10725;0.40669;0.85237;0.43598;0.91375;0.38084;0.79818;0.40377;0.84626;0.35307;0.73999;0.58278;0.00000;0.00000;0.58711;0.41722;1.00000;1.00000;0.41289;0.47713;0.00000;0.00000;0.53422;0.34158;0.02020;1.00000;0.37570;0.18129;0.97980;0.00000;0.09008;1.09586;inf;inf;0.87190;2.52767;inf;inf;2.27843;1.85577;inf;inf;1.20915
0;1;2;0;0;0.42298;nan;nan;0.42298;0.03802;nan;nan;0.03802;0.43131;nan;nan;0.43131;0.10769;nan;nan;0.10769;0.40161;0.85429;0.43177;0.91844;0.37495;0.79757;0.39861;0.84790;0.34908;0.74254;0.57923;0.00000;0.00000;0.58353;0.42077;1.00000;1.00000;0.41647;0.47012;0.00000;0.00000;0.53332;0.34151;0.01799;1.00000;0.38064;0.18838;0.98201;0.00000;0.08604;1.12714;inf;inf;0.87505;2.58001;inf;inf;2.30250;1.92854;inf;inf;1.19772
