;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;2158;2158
0-1-0-0-0;2028;2028
0-0-1-0-0;1950;1950
0-0-0-1-0;2188;2188
0-0-0-0-1;2266;2266
1-2-0-0-0;1787;1787
1-0-2-0-0;1642;1642
1-0-0-2-0;1736;1736
1-0-0-0-2;1798;1798
0-1-2-0-0;1607;1607
0-1-0-2-0;1654;1654
0-1-0-0-2;1744;1744
0-0-1-2-0;1714;1714
0-0-1-0-2;1746;1746
0-0-0-1-2;1844;1844
1-2-3-0-0;1857;1857
1-2-0-3-0;1878;1878
1-2-0-0-3;1862;1862
1-0-2-3-0;1736;1736
1-0-2-0-3;1742;1742
1-0-0-2-3;1831;1831
0-1-2-3-0;1690;1690
0-1-2-0-3;1705;1705
0-1-0-2-3;1772;1772
0-0-1-2-3;1783;1783
1-2-3-4-0;1586;1586
1-2-3-0-4;1593;1593
1-2-0-3-4;1648;1648
1-0-2-3-4;1594;1594
0-1-2-3-4;1555;1555
1-2-3-4-5;1670;1670
