;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;5;5
0-1-0-0-0;16;16
0-0-1-0-0;11;11
0-0-0-1-0;4;4
0-0-0-0-1;10;10
1-2-0-0-0;14;14
1-0-2-0-0;13;13
1-0-0-2-0;8;8
1-0-0-0-2;14;14
0-1-2-0-0;19;19
0-1-0-2-0;16;16
0-1-0-0-2;16;16
0-0-1-2-0;9;9
0-0-1-0-2;14;14
0-0-0-1-2;10;10
1-2-3-0-0;11;11
1-2-0-3-0;9;9
1-2-0-0-3;11;11
1-0-2-3-0;8;8
1-0-2-0-3;9;9
1-0-0-2-3;6;6
0-1-2-3-0;11;11
0-1-2-0-3;14;14
0-1-0-2-3;10;10
0-0-1-2-3;8;8
1-2-3-4-0;12;12
1-2-3-0-4;16;16
1-2-0-3-4;14;14
1-0-2-3-4;12;12
0-1-2-3-4;16;16
1-2-3-4-5;15;15
