;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;5;5
0-1-0-0-0;9;9
0-0-1-0-0;9;9
0-0-0-1-0;5;5
0-0-0-0-1;7;7
1-2-0-0-0;9;9
1-0-2-0-0;11;11
1-0-0-2-0;7;7
1-0-0-0-2;10;10
0-1-2-0-0;12;12
0-1-0-2-0;9;9
0-1-0-0-2;12;12
0-0-1-2-0;10;10
0-0-1-0-2;10;10
0-0-0-1-2;8;8
1-2-3-0-0;9;9
1-2-0-3-0;9;9
1-2-0-0-3;8;8
1-0-2-3-0;11;11
1-0-2-0-3;10;10
1-0-0-2-3;6;6
0-1-2-3-0;11;11
0-1-2-0-3;12;12
0-1-0-2-3;8;8
0-0-1-2-3;10;10
1-2-3-4-0;11;11
1-2-3-0-4;12;12
1-2-0-3-4;9;9
1-0-2-3-4;11;11
0-1-2-3-4;12;12
1-2-3-4-5;12;12
