;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;9659621;9659621
0-1-0-0-0;9369065;9369065
0-0-1-0-0;8538970;8538970
0-0-0-1-0;9005844;9005844
0-0-0-0-1;8459223;8459223
1-2-0-0-0;8038450;8038450
1-0-2-0-0;7113940;7113940
1-0-0-2-0;7378277;7378277
1-0-0-0-2;7188968;7188968
0-1-2-0-0;7209679;7209679
0-1-0-2-0;7595854;7595854
0-1-0-0-2;7224432;7224432
0-0-1-2-0;7039106;7039106
0-0-1-0-2;6810223;6810223
0-0-0-1-2;6958068;6958068
1-2-3-0-0;8870842;8870842
1-2-0-3-0;9053068;9053068
1-2-0-0-3;8856097;8856097
1-0-2-3-0;8647070;8647070
1-0-2-0-3;8508590;8508590
1-0-0-2-3;8775909;8775909
0-1-2-3-0;8836063;8836063
0-1-2-0-3;8540320;8540320
0-1-0-2-3;8808149;8808149
0-0-1-2-3;8380395;8380395
1-2-3-4-0;7968727;7968727
1-2-3-0-4;7794158;7794158
1-2-0-3-4;7949419;7949419
1-0-2-3-4;7693479;7693479
0-1-2-3-4;7785235;7785235
1-2-3-4-5;8641018;8641018
