;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;9931754;9931754
0-1-0-0-0;10187829;10187829
0-0-1-0-0;8775431;8775431
0-0-0-1-0;9450401;9450401
0-0-0-0-1;8856213;8856213
1-2-0-0-0;12165217;12165217
1-0-2-0-0;11668170;11668170
1-0-0-2-0;12120970;12120970
1-0-0-0-2;11906469;11906469
0-1-2-0-0;11756320;11756320
0-1-0-2-0;12073334;12073334
0-1-0-0-2;11838682;11838682
0-0-1-2-0;11316612;11316612
0-0-1-0-2;10936533;10936533
0-0-0-1-2;11663878;11663878
1-2-3-0-0;9423269;9423269
1-2-0-3-0;9533231;9533231
1-2-0-0-3;9569119;9569119
1-0-2-3-0;9093722;9093722
1-0-2-0-3;8992586;8992586
1-0-0-2-3;9237911;9237911
0-1-2-3-0;9137406;9137406
0-1-2-0-3;9195221;9195221
0-1-0-2-3;9263820;9263820
0-0-1-2-3;8721258;8721258
1-2-3-4-0;10480820;10480820
1-2-3-0-4;10479007;10479007
1-2-0-3-4;10575321;10575321
1-0-2-3-4;10044013;10044013
0-1-2-3-4;10234335;10234335
1-2-3-4-5;8920990;8920990
