;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1723;1723
0-1-0-0-0;2186;2186
0-0-1-0-0;2464;2464
0-0-0-1-0;1930;1930
0-0-0-0-1;2042;2042
1-2-0-0-0;2280;2280
1-0-2-0-0;2587;2587
1-0-0-2-0;2246;2246
1-0-0-0-2;2250;2250
0-1-2-0-0;2682;2682
0-1-0-2-0;2437;2437
0-1-0-0-2;2346;2346
0-0-1-2-0;2531;2531
0-0-1-0-2;2533;2533
0-0-0-1-2;2272;2272
1-2-3-0-0;2319;2319
1-2-0-3-0;2277;2277
1-2-0-0-3;2288;2288
1-0-2-3-0;2500;2500
1-0-2-0-3;2514;2514
1-0-0-2-3;2249;2249
0-1-2-3-0;2602;2602
0-1-2-0-3;2590;2590
0-1-0-2-3;2414;2414
0-0-1-2-3;2583;2583
1-2-3-4-0;2713;2713
1-2-3-0-4;2662;2662
1-2-0-3-4;2529;2529
1-0-2-3-4;2735;2735
0-1-2-3-4;2756;2756
1-2-3-4-5;2657;2657
