;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.20872;0.20872
0-1-0-0-0;0.23167;0.23167
0-0-1-0-0;0.28349;0.28349
0-0-0-1-0;0.22222;0.22222
0-0-0-0-1;0.23684;0.23684
1-2-0-0-0;0.24857;0.24857
1-0-2-0-0;0.28779;0.28779
1-0-0-2-0;0.26220;0.26220
1-0-0-0-2;0.25382;0.25382
0-1-2-0-0;0.28134;0.28134
0-1-0-2-0;0.26000;0.26000
0-1-0-0-2;0.25215;0.25215
0-0-1-2-0;0.30154;0.30154
0-0-1-0-2;0.28963;0.28963
0-0-0-1-2;0.26837;0.26837
1-2-3-0-0;0.25595;0.25595
1-2-0-3-0;0.25000;0.25000
1-2-0-0-3;0.25074;0.25074
1-0-2-3-0;0.27879;0.27879
1-0-2-0-3;0.27679;0.27679
1-0-0-2-3;0.26332;0.26332
0-1-2-3-0;0.28235;0.28235
0-1-2-0-3;0.27566;0.27566
0-1-0-2-3;0.26727;0.26727
0-0-1-2-3;0.29595;0.29595
1-2-3-4-0;0.29060;0.29060
1-2-3-0-4;0.28329;0.28329
1-2-0-3-4;0.27988;0.27988
1-0-2-3-4;0.30473;0.30473
0-1-2-3-4;0.29942;0.29942
1-2-3-4-5;0.28994;0.28994
