;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;7604724;7604724
0-1-0-0-0;7556828;7556828
0-0-1-0-0;6927663;6927663
0-0-0-1-0;7457645;7457645
0-0-0-0-1;6839161;6839161
1-2-0-0-0;9343568;9343568
1-0-2-0-0;9288127;9288127
1-0-0-2-0;9614662;9614662
1-0-0-0-2;9211571;9211571
0-1-2-0-0;9207398;9207398
0-1-0-2-0;9531259;9531259
0-1-0-0-2;9143076;9143076
0-0-1-2-0;9093302;9093302
0-0-1-0-2;8626173;8626173
0-0-0-1-2;9217352;9217352
1-2-3-0-0;7274866;7274866
1-2-0-3-0;7438436;7438436
1-2-0-0-3;7311136;7311136
1-0-2-3-0;7169250;7169250
1-0-2-0-3;6982343;6982343
1-0-0-2-3;7171716;7171716
0-1-2-3-0;7211057;7211057
0-1-2-0-3;7025488;7025488
0-1-0-2-3;7204389;7204389
0-0-1-2-3;6956164;6956164
1-2-3-4-0;8314312;8314312
1-2-3-0-4;8160813;8160813
1-2-0-3-4;8216792;8216792
1-0-2-3-4;8019059;8019059
0-1-2-3-4;8109018;8109018
1-2-3-4-5;7055613;7055613
