;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;84;84
0-1-0-0-0;102;102
0-0-1-0-0;122;122
0-0-0-1-0;94;94
0-0-0-0-1;95;95
1-2-0-0-0;114;114
1-0-2-0-0;134;134
1-0-0-2-0;118;118
1-0-0-0-2;112;112
0-1-2-0-0;137;137
0-1-0-2-0;122;122
0-1-0-0-2;115;115
0-0-1-2-0;133;133
0-0-1-0-2;130;130
0-0-0-1-2;114;114
1-2-3-0-0;112;112
1-2-0-3-0;110;110
1-2-0-0-3;111;111
1-0-2-3-0;125;125
1-0-2-0-3;126;126
1-0-0-2-3;113;113
0-1-2-3-0;128;128
0-1-2-0-3;127;127
0-1-0-2-3;118;118
0-0-1-2-3;128;128
1-2-3-4-0;138;138
1-2-3-0-4;135;135
1-2-0-3-4;127;127
1-0-2-3-4;140;140
0-1-2-3-4;139;139
1-2-3-4-5;131;131
