;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;4;4
0-1-0-0-0;15;15
0-0-1-0-0;7;7
0-0-0-1-0;3;3
0-0-0-0-1;6;6
1-2-0-0-0;12;12
1-0-2-0-0;8;8
1-0-0-2-0;6;6
1-0-0-0-2;9;9
0-1-2-0-0;14;14
0-1-0-2-0;14;14
0-1-0-0-2;11;11
0-0-1-2-0;6;6
0-0-1-0-2;8;8
0-0-0-1-2;6;6
1-2-3-0-0;9;9
1-2-0-3-0;7;7
1-2-0-0-3;8;8
1-0-2-3-0;7;7
1-0-2-0-3;7;7
1-0-0-2-3;4;4
0-1-2-3-0;9;9
0-1-2-0-3;11;11
0-1-0-2-3;9;9
0-0-1-2-3;6;6
1-2-3-4-0;9;9
1-2-3-0-4;11;11
1-2-0-3-4;11;11
1-0-2-3-4;9;9
0-1-2-3-4;13;13
1-2-3-4-5;12;12
