;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;4101;4101
0-1-0-0-0;4236;4236
0-0-1-0-0;4251;4251
0-0-0-1-0;4028;4028
0-0-0-0-1;4026;4026
1-2-0-0-0;4379;4379
1-0-2-0-0;4480;4480
1-0-0-2-0;4393;4393
1-0-0-0-2;4372;4372
0-1-2-0-0;4514;4514
0-1-0-2-0;4462;4462
0-1-0-0-2;4425;4425
0-0-1-2-0;4398;4398
0-0-1-0-2;4390;4390
0-0-0-1-2;4285;4285
1-2-3-0-0;4338;4338
1-2-0-3-0;4324;4324
1-2-0-0-3;4339;4339
1-0-2-3-0;4422;4422
1-0-2-0-3;4426;4426
1-0-0-2-3;4337;4337
0-1-2-3-0;4460;4460
0-1-2-0-3;4464;4464
0-1-0-2-3;4397;4397
0-0-1-2-3;4370;4370
1-2-3-4-0;4531;4531
1-2-3-0-4;4534;4534
1-2-0-3-4;4490;4490
1-0-2-3-4;4522;4522
0-1-2-3-4;4548;4548
1-2-3-4-5;4488;4488
