;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;299;299
0-1-0-0-0;281;281
0-0-1-0-0;261;261
0-0-0-1-0;289;289
0-0-0-0-1;288;288
1-2-0-0-0;269;269
1-0-2-0-0;249;249
1-0-0-2-0;265;265
1-0-0-0-2;271;271
0-1-2-0-0;246;246
0-1-0-2-0;261;261
0-1-0-0-2;268;268
0-0-1-2-0;250;250
0-0-1-0-2;253;253
0-0-0-1-2;269;269
1-2-3-0-0;271;271
1-2-0-3-0;273;273
1-2-0-0-3;272;272
1-0-2-3-0;258;258
1-0-2-0-3;257;257
1-0-0-2-3;270;270
0-1-2-3-0;255;255
0-1-2-0-3;256;256
0-1-0-2-3;265;265
0-0-1-2-3;255;255
1-2-3-4-0;245;245
1-2-3-0-4;248;248
1-2-0-3-4;256;256
1-0-2-3-4;243;243
0-1-2-3-4;244;244
1-2-3-4-5;252;252
