;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.22910;0.22910
0-1-0-0-0;0.20419;0.20419
0-0-1-0-0;0.21414;0.21414
0-0-0-1-0;0.25321;0.25321
0-0-0-0-1;0.25537;0.25537
1-2-0-0-0;0.17968;0.17968
1-0-2-0-0;0.16917;0.16917
1-0-0-2-0;0.18191;0.18191
1-0-0-0-2;0.18534;0.18534
0-1-2-0-0;0.16078;0.16078
0-1-0-2-0;0.16853;0.16853
0-1-0-0-2;0.17389;0.17389
0-0-1-2-0;0.18692;0.18692
0-0-1-0-2;0.18807;0.18807
0-0-0-1-2;0.20719;0.20719
1-2-3-0-0;0.18953;0.18953
1-2-0-3-0;0.19260;0.19260
1-2-0-0-3;0.18945;0.18945
1-0-2-3-0;0.18096;0.18096
1-0-2-0-3;0.18017;0.18017
1-0-0-2-3;0.19417;0.19417
0-1-2-3-0;0.17279;0.17279
0-1-2-0-3;0.17128;0.17128
0-1-0-2-3;0.18210;0.18210
0-0-1-2-3;0.19299;0.19299
1-2-3-4-0;0.15959;0.15959
1-2-3-0-4;0.15860;0.15860
1-2-0-3-4;0.16528;0.16528
1-0-2-3-4;0.16430;0.16430
0-1-2-3-4;0.15777;0.15777
1-2-3-4-5;0.16839;0.16839
