;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1142;1142
0-1-0-0-0;1402;1402
0-0-1-0-0;1040;1040
0-0-0-1-0;785;785
0-0-0-0-1;764;764
1-2-0-0-0;1595;1595
1-0-2-0-0;1510;1510
1-0-0-2-0;1387;1387
1-0-0-0-2;1375;1375
0-1-2-0-0;1703;1703
0-1-0-2-0;1596;1596
0-1-0-0-2;1587;1587
0-0-1-2-0;1253;1253
0-0-1-0-2;1243;1243
0-0-0-1-2;1048;1048
1-2-3-0-0;1422;1422
1-2-0-3-0;1372;1372
1-2-0-0-3;1411;1411
1-0-2-3-0;1321;1321
1-0-2-0-3;1335;1335
1-0-0-2-3;1214;1214
0-1-2-3-0;1459;1459
0-1-2-0-3;1494;1494
0-1-0-2-3;1388;1388
0-0-1-2-3;1166;1166
1-2-3-4-0;1637;1637
1-2-3-0-4;1660;1660
1-2-0-3-4;1586;1586
1-0-2-3-4;1481;1481
0-1-2-3-4;1621;1621
1-2-3-4-5;1493;1493
