;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.60568;0.60568
0-1-0-0-0;0.60282;0.60282
0-0-1-0-0;0.63403;0.63403
0-0-0-1-0;0.62668;0.62668
0-0-0-0-1;0.62760;0.62760
1-2-0-0-0;0.60597;0.60597
1-0-2-0-0;0.62491;0.62491
1-0-0-2-0;0.62427;0.62427
1-0-0-0-2;0.62249;0.62249
0-1-2-0-0;0.61424;0.61424
0-1-0-2-0;0.61724;0.61724
0-1-0-0-2;0.61243;0.61243
0-0-1-2-0;0.63490;0.63490
0-0-1-0-2;0.63557;0.63557
0-0-0-1-2;0.63879;0.63879
1-2-3-0-0;0.61386;0.61386
1-2-0-3-0;0.61640;0.61640
1-2-0-0-3;0.61545;0.61545
1-0-2-3-0;0.63338;0.63338
1-0-2-0-3;0.63322;0.63322
1-0-0-2-3;0.63143;0.63143
0-1-2-3-0;0.62678;0.62678
0-1-2-0-3;0.62462;0.62462
0-1-0-2-3;0.62491;0.62491
0-0-1-2-3;0.63905;0.63905
1-2-3-4-0;0.62120;0.62120
1-2-3-0-4;0.62011;0.62011
1-2-0-3-4;0.62049;0.62049
1-0-2-3-4;0.63252;0.63252
0-1-2-3-4;0.62445;0.62445
1-2-3-4-5;0.62740;0.62740
