;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.55785;0.55785
0-1-0-0-0;0.57222;0.57222
0-0-1-0-0;0.58017;0.58017
0-0-0-1-0;0.63229;0.63229
0-0-0-0-1;0.59701;0.59701
1-2-0-0-0;0.60500;0.60500
1-0-2-0-0;0.60632;0.60632
1-0-0-2-0;0.62029;0.62029
1-0-0-0-2;0.60000;0.60000
0-1-2-0-0;0.58316;0.58316
0-1-0-2-0;0.60833;0.60833
0-1-0-0-2;0.58427;0.58427
0-0-1-2-0;0.58486;0.58486
0-0-1-0-2;0.57967;0.57967
0-0-0-1-2;0.62338;0.62338
1-2-3-0-0;0.60250;0.60250
1-2-0-3-0;0.60278;0.60278
1-2-0-0-3;0.58841;0.58841
1-0-2-3-0;0.59565;0.59565
1-0-2-0-3;0.58652;0.58652
1-0-0-2-3;0.58719;0.58719
0-1-2-3-0;0.59048;0.59048
0-1-2-0-3;0.57826;0.57826
0-1-0-2-3;0.57143;0.57143
0-0-1-2-3;0.55978;0.55978
1-2-3-4-0;0.59565;0.59565
1-2-3-0-4;0.58800;0.58800
1-2-0-3-4;0.59167;0.59167
1-0-2-3-4;0.58261;0.58261
0-1-2-3-4;0.57174;0.57174
1-2-3-4-5;0.57174;0.57174
