;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;215;215
0-1-0-0-0;203;203
0-0-1-0-0;191;191
0-0-0-1-0;214;214
0-0-0-0-1;210;210
1-2-0-0-0;195;195
1-0-2-0-0;183;183
1-0-0-2-0;196;196
1-0-0-0-2;199;199
0-1-2-0-0;181;181
0-1-0-2-0;191;191
0-1-0-0-2;194;194
0-0-1-2-0;184;184
0-0-1-0-2;187;187
0-0-0-1-2;198;198
1-2-3-0-0;196;196
1-2-0-3-0;198;198
1-2-0-0-3;197;197
1-0-2-3-0;190;190
1-0-2-0-3;189;189
1-0-0-2-3;198;198
0-1-2-3-0;186;186
0-1-2-0-3;188;188
0-1-0-2-3;193;193
0-0-1-2-3;187;187
1-2-3-4-0;180;180
1-2-3-0-4;182;182
1-2-0-3-4;186;186
1-0-2-3-4;179;179
0-1-2-3-4;179;179
1-2-3-4-5;184;184
