;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.44737;0.44737
0-1-0-0-0;0.44639;0.44639
0-0-1-0-0;0.44924;0.44924
0-0-0-1-0;0.44623;0.44623
0-0-0-0-1;0.44959;0.44959
1-2-0-0-0;0.44125;0.44125
1-0-2-0-0;0.44115;0.44115
1-0-0-2-0;0.43940;0.43940
1-0-0-0-2;0.44171;0.44171
0-1-2-0-0;0.44051;0.44051
0-1-0-2-0;0.43986;0.43986
0-1-0-0-2;0.44128;0.44128
0-0-1-2-0;0.44057;0.44057
0-0-1-0-2;0.44382;0.44382
0-0-0-1-2;0.44130;0.44130
1-2-3-0-0;0.44754;0.44754
1-2-0-3-0;0.44736;0.44736
1-2-0-0-3;0.44833;0.44833
1-0-2-3-0;0.44775;0.44775
1-0-2-0-3;0.44987;0.44987
1-0-0-2-3;0.44855;0.44855
0-1-2-3-0;0.44758;0.44758
0-1-2-0-3;0.44906;0.44906
0-1-0-2-3;0.44849;0.44849
0-0-1-2-3;0.44888;0.44888
1-2-3-4-0;0.44395;0.44395
1-2-3-0-4;0.44536;0.44536
1-2-0-3-4;0.44481;0.44481
1-0-2-3-4;0.44551;0.44551
0-1-2-3-4;0.44540;0.44540
1-2-3-4-5;0.44899;0.44899
