;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;12;12
0-1-0-0-0;35;35
0-0-1-0-0;35;35
0-0-0-1-0;1;1
0-0-0-0-1;1;1
1-2-0-0-0;33;33
1-0-2-0-0;29;29
1-0-0-2-0;11;11
1-0-0-0-2;11;11
0-1-2-0-0;37;37
0-1-0-2-0;24;24
0-1-0-0-2;23;23
0-0-1-2-0;34;34
0-0-1-0-2;34;34
0-0-0-1-2;1;1
1-2-3-0-0;30;30
1-2-0-3-0;23;23
1-2-0-0-3;20;20
1-0-2-3-0;25;25
1-0-2-0-3;22;22
1-0-0-2-3;2;2
0-1-2-3-0;37;37
0-1-2-0-3;33;33
0-1-0-2-3;20;20
0-0-1-2-3;29;29
1-2-3-4-0;44;44
1-2-3-0-4;40;40
1-2-0-3-4;23;23
1-0-2-3-4;40;40
0-1-2-3-4;33;33
1-2-3-4-5;33;33
