;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.12150;0.12150
0-1-0-0-0;0.17302;0.17302
0-0-1-0-0;0.12150;0.12150
0-0-0-1-0;0.07843;0.07843
0-0-0-0-1;0.07237;0.07237
1-2-0-0-0;0.19429;0.19429
1-0-2-0-0;0.18023;0.18023
1-0-0-2-0;0.14024;0.14024
1-0-0-0-2;0.13761;0.13761
0-1-2-0-0;0.21448;0.21448
0-1-0-2-0;0.19429;0.19429
0-1-0-0-2;0.19198;0.19198
0-0-1-2-0;0.13231;0.13231
0-0-1-0-2;0.14024;0.14024
0-0-0-1-2;0.09904;0.09904
1-2-3-0-0;0.16071;0.16071
1-2-0-3-0;0.16071;0.16071
1-2-0-0-3;0.16814;0.16814
1-0-2-3-0;0.14545;0.14545
1-0-2-0-3;0.16071;0.16071
1-0-0-2-3;0.11599;0.11599
0-1-2-3-0;0.17059;0.17059
0-1-2-0-3;0.17302;0.17302
0-1-0-2-3;0.15315;0.15315
0-0-1-2-3;0.12150;0.12150
1-2-3-4-0;0.19658;0.19658
1-2-3-0-4;0.20113;0.20113
1-2-0-3-4;0.17784;0.17784
1-0-2-3-4;0.16568;0.16568
0-1-2-3-4;0.18023;0.18023
1-2-3-4-5;0.16568;0.16568
