;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1689;1689
0-1-0-0-0;1923;1923
0-0-1-0-0;1553;1553
0-0-0-1-0;1311;1311
0-0-0-0-1;1280;1280
1-2-0-0-0;2345;2345
1-0-2-0-0;2301;2301
1-0-0-2-0;2214;2214
1-0-0-0-2;2146;2146
0-1-2-0-0;2477;2477
0-1-0-2-0;2383;2383
0-1-0-0-2;2324;2324
0-0-1-2-0;2020;2020
0-0-1-0-2;2003;2003
0-0-0-1-2;1821;1821
1-2-3-0-0;1995;1995
1-2-0-3-0;1935;1935
1-2-0-0-3;2010;2010
1-0-2-3-0;1885;1885
1-0-2-0-3;1945;1945
1-0-0-2-3;1827;1827
0-1-2-3-0;2022;2022
0-1-2-0-3;2083;2083
0-1-0-2-3;1984;1984
0-0-1-2-3;1744;1744
1-2-3-4-0;2354;2354
1-2-3-0-4;2397;2397
1-2-0-3-4;2333;2333
1-0-2-3-4;2229;2229
0-1-2-3-4;2354;2354
1-2-3-4-5;2110;2110
