;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;15;15
0-1-0-0-0;22;22
0-0-1-0-0;31;31
0-0-0-1-0;0;0
0-0-0-0-1;12;12
1-2-0-0-0;18;18
1-0-2-0-0;34;34
1-0-0-2-0;9;9
1-0-0-0-2;21;21
0-1-2-0-0;40;40
0-1-0-2-0;14;14
0-1-0-0-2;27;27
0-0-1-2-0;32;32
0-0-1-0-2;32;32
0-0-0-1-2;12;12
1-2-3-0-0;23;23
1-2-0-3-0;15;15
1-2-0-0-3;14;14
1-0-2-3-0;40;40
1-0-2-0-3;39;39
1-0-0-2-3;6;6
0-1-2-3-0;40;40
0-1-2-0-3;39;39
0-1-0-2-3;14;14
0-0-1-2-3;32;32
1-2-3-4-0;48;48
1-2-3-0-4;47;47
1-2-0-3-4;15;15
1-0-2-3-4;47;47
0-1-2-3-4;39;39
1-2-3-4-5;39;39
