;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.02618;0.02618
0-1-0-0-0;0.07921;0.07921
0-0-1-0-0;0.05584;0.05584
0-0-0-1-0;0.02105;0.02105
0-0-0-0-1;0.05102;0.05102
1-2-0-0-0;0.07000;0.07000
1-0-2-0-0;0.06533;0.06533
1-0-0-2-0;0.04124;0.04124
1-0-0-0-2;0.07000;0.07000
0-1-2-0-0;0.09268;0.09268
0-1-0-2-0;0.07921;0.07921
0-1-0-0-2;0.07921;0.07921
0-0-1-2-0;0.04615;0.04615
0-0-1-0-2;0.07000;0.07000
0-0-0-1-2;0.05102;0.05102
1-2-3-0-0;0.05584;0.05584
1-2-0-3-0;0.04615;0.04615
1-2-0-0-3;0.05584;0.05584
1-0-2-3-0;0.04124;0.04124
1-0-2-0-3;0.04615;0.04615
1-0-0-2-3;0.03125;0.03125
0-1-2-3-0;0.05584;0.05584
0-1-2-0-3;0.07000;0.07000
0-1-0-2-3;0.05102;0.05102
0-0-1-2-3;0.04124;0.04124
1-2-3-4-0;0.06061;0.06061
1-2-3-0-4;0.07921;0.07921
1-2-0-3-4;0.07000;0.07000
1-0-2-3-4;0.06061;0.06061
0-1-2-3-4;0.07921;0.07921
1-2-3-4-5;0.07463;0.07463
