;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;9662737;9662737
0-1-0-0-0;9372203;9372203
0-0-1-0-0;8541830;8541830
0-0-0-1-0;9008978;9008978
0-0-0-0-1;8461725;8461725
1-2-0-0-0;8041667;8041667
1-0-2-0-0;7116875;7116875
1-0-0-2-0;7381198;7381198
1-0-0-0-2;7191788;7191788
0-1-2-0-0;7212754;7212754
0-1-0-2-0;7598926;7598926
0-1-0-0-2;7227081;7227081
0-0-1-2-0;7042089;7042089
0-0-1-0-2;6812767;6812767
0-0-0-1-2;6960946;6960946
1-2-3-0-0;8873982;8873982
1-2-0-3-0;9056247;9056247
1-2-0-0-3;8859258;8859258
1-0-2-3-0;8650193;8650193
1-0-2-0-3;8511516;8511516
1-0-0-2-3;8779194;8779194
0-1-2-3-0;8839245;8839245
0-1-2-0-3;8543401;8543401
0-1-0-2-3;8811080;8811080
0-0-1-2-3;8383657;8383657
1-2-3-4-0;7972061;7972061
1-2-3-0-4;7797444;7797444
1-2-0-3-4;7952700;7952700
1-0-2-3-4;7696711;7696711
0-1-2-3-4;7788454;7788454
1-2-3-4-5;8644618;8644618
