;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.66978;0.66978
0-1-0-0-0;0.59531;0.59531
0-0-1-0-0;0.59502;0.59502
0-0-0-1-0;0.69935;0.69935
0-0-0-0-1;0.69079;0.69079
1-2-0-0-0;0.55714;0.55714
1-0-2-0-0;0.53198;0.53198
1-0-0-2-0;0.59756;0.59756
1-0-0-0-2;0.60856;0.60856
0-1-2-0-0;0.50418;0.50418
0-1-0-2-0;0.54571;0.54571
0-1-0-0-2;0.55587;0.55587
0-0-1-2-0;0.56615;0.56615
0-0-1-0-2;0.57012;0.57012
0-0-0-1-2;0.63259;0.63259
1-2-3-0-0;0.58333;0.58333
1-2-0-3-0;0.58929;0.58929
1-2-0-0-3;0.58112;0.58112
1-0-2-3-0;0.57576;0.57576
1-0-2-0-3;0.56250;0.56250
1-0-0-2-3;0.62069;0.62069
0-1-2-3-0;0.54706;0.54706
0-1-2-0-3;0.55132;0.55132
0-1-0-2-3;0.57958;0.57958
0-0-1-2-3;0.58255;0.58255
1-2-3-4-0;0.51282;0.51282
1-2-3-0-4;0.51558;0.51558
1-2-0-3-4;0.54227;0.54227
1-0-2-3-4;0.52959;0.52959
0-1-2-3-4;0.52035;0.52035
1-2-3-4-5;0.54438;0.54438
