;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;656;656
0-1-0-0-0;673;673
0-0-1-0-0;843;843
0-0-0-1-0;661;661
0-0-0-0-1;590;590
1-2-0-0-0;900;900
1-0-2-0-0;1080;1080
1-0-0-2-0;990;990
1-0-0-0-2;865;865
0-1-2-0-0;1051;1051
0-1-0-2-0;942;942
0-1-0-0-2;855;855
0-0-1-2-0;1072;1072
0-0-1-0-2;1012;1012
0-0-0-1-2;887;887
1-2-3-0-0;821;821
1-2-0-3-0;817;817
1-2-0-0-3;827;827
1-0-2-3-0;982;982
1-0-2-0-3;944;944
1-0-0-2-3;875;875
0-1-2-3-0;950;950
0-1-2-0-3;898;898
0-1-0-2-3;868;868
0-0-1-2-3;926;926
1-2-3-4-0;1099;1099
1-2-3-0-4;1023;1023
1-2-0-3-4;985;985
1-0-2-3-4;1102;1102
0-1-2-3-4;1065;1065
1-2-3-4-5;956;956
