;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;65;65
0-1-0-0-0;94;94
0-0-1-0-0;71;71
0-0-0-1-0;7;7
0-0-0-0-1;27;27
1-2-0-0-0;85;85
1-0-2-0-0;107;107
1-0-0-2-0;49;49
1-0-0-0-2;69;69
0-1-2-0-0;107;107
0-1-0-2-0;61;61
0-1-0-0-2;78;78
0-0-1-2-0;70;70
0-0-1-0-2;71;71
0-0-0-1-2;27;27
1-2-3-0-0;84;84
1-2-0-3-0;59;59
1-2-0-0-3;50;50
1-0-2-3-0;114;114
1-0-2-0-3;105;105
1-0-0-2-3;25;25
0-1-2-3-0;117;117
0-1-2-0-3;97;97
0-1-0-2-3;42;42
0-0-1-2-3;57;57
1-2-3-4-0;142;142
1-2-3-0-4;122;122
1-2-0-3-4;61;61
1-0-2-3-4;119;119
0-1-2-3-4;94;94
1-2-3-4-5;94;94
