;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;3384;3384
0-1-0-0-0;3814;3814
0-0-1-0-0;4515;4515
0-0-0-1-0;3443;3443
0-0-0-0-1;3591;3591
1-2-0-0-0;4417;4417
1-0-2-0-0;5117;5117
1-0-0-2-0;4533;4533
1-0-0-0-2;4446;4446
0-1-2-0-0;5156;5156
0-1-0-2-0;4641;4641
0-1-0-0-2;4445;4445
0-0-1-2-0;4974;4974
0-0-1-0-2;4941;4941
0-0-0-1-2;4317;4317
1-2-3-0-0;4320;4320
1-2-0-3-0;4259;4259
1-2-0-0-3;4276;4276
1-0-2-3-0;4758;4758
1-0-2-0-3;4780;4780
1-0-0-2-3;4255;4255
0-1-2-3-0;4777;4777
0-1-2-0-3;4726;4726
0-1-0-2-3;4377;4377
0-0-1-2-3;4712;4712
1-2-3-4-0;5237;5237
1-2-3-0-4;5106;5106
1-2-0-3-4;4766;4766
1-0-2-3-4;5246;5246
0-1-2-3-4;5170;5170
1-2-3-4-5;4879;4879
