;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1099;1099
0-1-0-0-0;1328;1328
0-0-1-0-0;994;994
0-0-0-1-0;758;758
0-0-0-0-1;736;736
1-2-0-0-0;1515;1515
1-0-2-0-0;1440;1440
1-0-0-2-0;1335;1335
1-0-0-0-2;1321;1321
0-1-2-0-0;1612;1612
0-1-0-2-0;1514;1514
0-1-0-0-2;1509;1509
0-0-1-2-0;1204;1204
0-0-1-0-2;1189;1189
0-0-0-1-2;1011;1011
1-2-3-0-0;1359;1359
1-2-0-3-0;1311;1311
1-2-0-0-3;1346;1346
1-0-2-3-0;1266;1266
1-0-2-0-3;1274;1274
1-0-0-2-3;1173;1173
0-1-2-3-0;1392;1392
0-1-2-0-3;1424;1424
0-1-0-2-3;1328;1328
0-0-1-2-3;1121;1121
1-2-3-4-0;1559;1559
1-2-3-0-4;1578;1578
1-2-0-3-4;1514;1514
1-0-2-3-4;1416;1416
0-1-2-3-4;1546;1546
1-2-3-4-5;1425;1425
