;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;93417455;93417455
0-1-0-0-0;93519674;93519674
0-0-1-0-0;95186319;95186319
0-0-0-1-0;93729151;93729151
0-0-0-0-1;93308338;93308338
1-2-0-0-0;93091549;93091549
1-0-2-0-0;93794187;93794187
1-0-0-2-0;93152272;93152272
1-0-0-0-2;93068123;93068123
0-1-2-0-0;93906873;93906873
0-1-0-2-0;93662629;93662629
0-1-0-0-2;93029810;93029810
0-0-1-2-0;93912194;93912194
0-0-1-0-2;94206208;94206208
0-0-0-1-2;93372372;93372372
1-2-3-0-0;94457103;94457103
1-2-0-3-0;94545947;94545947
1-2-0-0-3;94549856;94549856
1-0-2-3-0;95582698;95582698
1-0-2-0-3;95680929;95680929
1-0-0-2-3;95180238;95180238
0-1-2-3-0;95643602;95643602
0-1-2-0-3;95365421;95365421
0-1-0-2-3;95126457;95126457
0-0-1-2-3;95634471;95634471
1-2-3-4-0;94847844;94847844
1-2-3-0-4;94835712;94835712
1-2-0-3-4;94474793;94474793
1-0-2-3-4;95180024;95180024
0-1-2-3-4;95314208;95314208
1-2-3-4-5;95552191;95552191
