;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;178;178
0-1-0-0-0;174;174
0-0-1-0-0;174;174
0-0-0-1-0;179;179
0-0-0-0-1;177;177
1-2-0-0-0;173;173
1-0-2-0-0;170;170
1-0-0-2-0;175;175
1-0-0-0-2;172;172
0-1-2-0-0;170;170
0-1-0-2-0;174;174
0-1-0-0-2;171;171
0-0-1-2-0;173;173
0-0-1-0-2;173;173
0-0-0-1-2;176;176
1-2-3-0-0;173;173
1-2-0-3-0;174;174
1-2-0-0-3;175;175
1-0-2-3-0;171;171
1-0-2-0-3;172;172
1-0-0-2-3;177;177
0-1-2-3-0;172;172
0-1-2-0-3;171;171
0-1-0-2-3;175;175
0-0-1-2-3;174;174
1-2-3-4-0;171;171
1-2-3-0-4;170;170
1-2-0-3-4;174;174
1-0-2-3-4;171;171
0-1-2-3-4;171;171
1-2-3-4-5;171;171
