;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1866;1866
0-1-0-0-0;1731;1731
0-0-1-0-0;1716;1716
0-0-0-1-0;1939;1939
0-0-0-0-1;1941;1941
1-2-0-0-0;1588;1588
1-0-2-0-0;1487;1487
1-0-0-2-0;1574;1574
1-0-0-0-2;1595;1595
0-1-2-0-0;1453;1453
0-1-0-2-0;1505;1505
0-1-0-0-2;1542;1542
0-0-1-2-0;1569;1569
0-0-1-0-2;1577;1577
0-0-0-1-2;1682;1682
1-2-3-0-0;1629;1629
1-2-0-3-0;1643;1643
1-2-0-0-3;1628;1628
1-0-2-3-0;1545;1545
1-0-2-0-3;1541;1541
1-0-0-2-3;1630;1630
0-1-2-3-0;1507;1507
0-1-2-0-3;1503;1503
0-1-0-2-3;1570;1570
0-0-1-2-3;1597;1597
1-2-3-4-0;1436;1436
1-2-3-0-4;1433;1433
1-2-0-3-4;1477;1477
1-0-2-3-4;1445;1445
0-1-2-3-4;1419;1419
1-2-3-4-5;1479;1479
