;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.17799;0.17799
0-1-0-0-0;0.16410;0.16410
0-0-1-0-0;0.16266;0.16266
0-0-0-1-0;0.18628;0.18628
0-0-0-0-1;0.19343;0.19343
1-2-0-0-0;0.13983;0.13983
1-0-2-0-0;0.12893;0.12893
1-0-0-2-0;0.13724;0.13724
1-0-0-0-2;0.14291;0.14291
0-1-2-0-0;0.12446;0.12446
0-1-0-2-0;0.12904;0.12904
0-1-0-0-2;0.13669;0.13669
0-0-1-2-0;0.13762;0.13762
0-0-1-0-2;0.14038;0.14038
0-0-0-1-2;0.15046;0.15046
1-2-3-0-0;0.14940;0.14940
1-2-0-3-0;0.15182;0.15182
1-2-0-0-3;0.14962;0.14962
1-0-2-3-0;0.14091;0.14091
1-0-2-0-3;0.14071;0.14071
1-0-0-2-3;0.14932;0.14932
0-1-2-3-0;0.13567;0.13567
0-1-2-0-3;0.13620;0.13620
0-1-0-2-3;0.14268;0.14268
0-0-1-2-3;0.14640;0.14640
1-2-3-4-0;0.12401;0.12401
1-2-3-0-4;0.12414;0.12414
1-2-0-3-4;0.12907;0.12907
1-0-2-3-4;0.12587;0.12587
0-1-2-3-4;0.12159;0.12159
1-2-3-4-5;0.13312;0.13312
