;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;457;457
0-1-0-0-0;704;704
0-0-1-0-0;802;802
0-0-0-1-0;539;539
0-0-0-0-1;660;660
1-2-0-0-0;641;641
1-0-2-0-0;735;735
1-0-0-2-0;583;583
1-0-0-0-2;592;592
0-1-2-0-0;845;845
0-1-0-2-0;639;639
0-1-0-0-2;682;682
0-0-1-2-0;737;737
0-0-1-0-2;761;761
0-0-0-1-2;639;639
1-2-3-0-0;703;703
1-2-0-3-0;660;660
1-2-0-0-3;677;677
1-0-2-3-0;727;727
1-0-2-0-3;719;719
1-0-0-2-3;643;643
0-1-2-3-0;820;820
0-1-2-0-3;828;828
0-1-0-2-3;742;742
0-0-1-2-3;809;809
1-2-3-4-0;807;807
1-2-3-0-4;791;791
1-2-0-3-4;750;750
1-0-2-3-4;813;813
0-1-2-3-4;868;868
1-2-3-4-5;830;830
