;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;52;52
0-1-0-0-0;62;62
0-0-1-0-0;68;68
0-0-0-1-0;42;42
0-0-0-0-1;32;32
1-2-0-0-0;73;73
1-0-2-0-0;89;89
1-0-0-2-0;71;71
1-0-0-0-2;69;69
0-1-2-0-0;83;83
0-1-0-2-0;68;68
0-1-0-0-2;71;71
0-0-1-2-0;80;80
0-0-1-0-2;70;70
0-0-0-1-2;48;48
1-2-3-0-0;72;72
1-2-0-3-0;66;66
1-2-0-0-3;62;62
1-0-2-3-0;84;84
1-0-2-0-3;78;78
1-0-0-2-3;57;57
0-1-2-3-0;76;76
0-1-2-0-3;75;75
0-1-0-2-3;60;60
0-0-1-2-3;70;70
1-2-3-4-0;83;83
1-2-3-0-4;82;82
1-2-0-3-4;63;63
1-0-2-3-4;80;80
0-1-2-3-4;77;77
1-2-3-4-5;77;77
