;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;2635;2635
0-1-0-0-0;2483;2483
0-0-1-0-0;2385;2385
0-0-0-1-0;2656;2656
0-0-0-0-1;2731;2731
1-2-0-0-0;2229;2229
1-0-2-0-0;2061;2061
1-0-0-2-0;2176;2176
1-0-0-0-2;2241;2241
0-1-2-0-0;2023;2023
0-1-0-2-0;2089;2089
0-1-0-0-2;2183;2183
0-0-1-2-0;2137;2137
0-0-1-0-2;2172;2172
0-0-0-1-2;2289;2289
1-2-3-0-0;2301;2301
1-2-0-3-0;2325;2325
1-2-0-0-3;2309;2309
1-0-2-3-0;2165;2165
1-0-2-0-3;2171;2171
1-0-0-2-3;2278;2278
0-1-2-3-0;2117;2117
0-1-2-0-3;2132;2132
0-1-0-2-3;2212;2212
0-0-1-2-3;2212;2212
1-2-3-4-0;2002;2002
1-2-3-0-4;2011;2011
1-2-0-3-4;2078;2078
1-0-2-3-4;2008;2008
0-1-2-3-4;1970;1970
1-2-3-4-5;2093;2093
