;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.04481;0.04481
0-1-0-0-0;0.04593;0.04593
0-0-1-0-0;0.03941;0.03941
0-0-0-1-0;0.04285;0.04285
0-0-0-0-1;0.04028;0.04028
1-2-0-0-0;0.05400;0.05400
1-0-2-0-0;0.05164;0.05164
1-0-0-2-0;0.05382;0.05382
1-0-0-0-2;0.05288;0.05288
0-1-2-0-0;0.05201;0.05201
0-1-0-2-0;0.05343;0.05343
0-1-0-0-2;0.05265;0.05265
0-0-1-2-0;0.05026;0.05026
0-0-1-0-2;0.04849;0.04849
0-0-0-1-2;0.05186;0.05186
1-2-3-0-0;0.04245;0.04245
1-2-0-3-0;0.04285;0.04285
1-2-0-0-3;0.04297;0.04297
1-0-2-3-0;0.04070;0.04070
1-0-2-0-3;0.04020;0.04020
1-0-0-2-3;0.04139;0.04139
0-1-2-3-0;0.04084;0.04084
0-1-2-0-3;0.04111;0.04111
0-1-0-2-3;0.04149;0.04149
0-0-1-2-3;0.03906;0.03906
1-2-3-4-0;0.04654;0.04654
1-2-3-0-4;0.04652;0.04652
1-2-0-3-4;0.04707;0.04707
1-0-2-3-4;0.04462;0.04462
0-1-2-3-4;0.04534;0.04534
1-2-3-4-5;0.03995;0.03995
