;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;8277;8277
0-1-0-0-0;8407;8407
0-0-1-0-0;8485;8485
0-0-0-1-0;8247;8247
0-0-0-0-1;8169;8169
1-2-0-0-0;8648;8648
1-0-2-0-0;8793;8793
1-0-0-2-0;8699;8699
1-0-0-0-2;8637;8637
0-1-2-0-0;8828;8828
0-1-0-2-0;8781;8781
0-1-0-0-2;8691;8691
0-0-1-2-0;8721;8721
0-0-1-0-2;8689;8689
0-0-0-1-2;8591;8591
1-2-3-0-0;8578;8578
1-2-0-3-0;8557;8557
1-2-0-0-3;8573;8573
1-0-2-3-0;8699;8699
1-0-2-0-3;8693;8693
1-0-0-2-3;8604;8604
0-1-2-3-0;8745;8745
0-1-2-0-3;8730;8730
0-1-0-2-3;8663;8663
0-0-1-2-3;8652;8652
1-2-3-4-0;8849;8849
1-2-3-0-4;8842;8842
1-2-0-3-4;8787;8787
1-0-2-3-4;8841;8841
0-1-2-3-4;8880;8880
1-2-3-4-5;8765;8765
