;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;8369;8369
0-1-0-0-0;8521;8521
0-0-1-0-0;8619;8619
0-0-0-1-0;8348;8348
0-0-0-0-1;8273;8273
1-2-0-0-0;8775;8775
1-0-2-0-0;8943;8943
1-0-0-2-0;8828;8828
1-0-0-0-2;8763;8763
0-1-2-0-0;8981;8981
0-1-0-2-0;8915;8915
0-1-0-0-2;8821;8821
0-0-1-2-0;8867;8867
0-0-1-0-2;8832;8832
0-0-0-1-2;8715;8715
1-2-3-0-0;8703;8703
1-2-0-3-0;8679;8679
1-2-0-0-3;8695;8695
1-0-2-3-0;8839;8839
1-0-2-0-3;8833;8833
1-0-0-2-3;8726;8726
0-1-2-3-0;8887;8887
0-1-2-0-3;8872;8872
0-1-0-2-3;8792;8792
0-0-1-2-3;8792;8792
1-2-3-4-0;9002;9002
1-2-3-0-4;8993;8993
1-2-0-3-4;8926;8926
1-0-2-3-4;8996;8996
0-1-2-3-4;9034;9034
1-2-3-4-5;8911;8911
