;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.03561;0.03561
0-1-0-0-0;0.03536;0.03536
0-0-1-0-0;0.03207;0.03207
0-0-0-1-0;0.03487;0.03487
0-0-0-0-1;0.03221;0.03221
1-2-0-0-0;0.04323;0.04323
1-0-2-0-0;0.04266;0.04266
1-0-0-2-0;0.04433;0.04433
1-0-0-0-2;0.04263;0.04263
0-1-2-0-0;0.04227;0.04227
0-1-0-2-0;0.04378;0.04378
0-1-0-0-2;0.04233;0.04233
0-0-1-2-0;0.04178;0.04178
0-0-1-0-2;0.03969;0.03969
0-0-0-1-2;0.04256;0.04256
1-2-3-0-0;0.03385;0.03385
1-2-0-3-0;0.03453;0.03453
1-2-0-0-3;0.03398;0.03398
1-0-2-3-0;0.03303;0.03303
1-0-2-0-3;0.03222;0.03222
1-0-0-2-3;0.03317;0.03317
0-1-2-3-0;0.03318;0.03318
0-1-2-0-3;0.03246;0.03246
0-1-0-2-3;0.03332;0.03332
0-0-1-2-3;0.03207;0.03207
1-2-3-4-0;0.03816;0.03816
1-2-3-0-4;0.03753;0.03753
1-2-0-3-4;0.03789;0.03789
1-0-2-3-4;0.03679;0.03679
0-1-2-3-4;0.03713;0.03713
1-2-3-4-5;0.03256;0.03256
