;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;99156633;99156633
0-1-0-0-0;99009050;99009050
0-0-1-0-0;100041507;100041507
0-0-0-1-0;98425212;98425212
0-0-0-0-1;98849517;98849517
1-2-0-0-0;99401109;99401109
1-0-2-0-0;99685694;99685694
1-0-0-2-0;98956376;98956376
1-0-0-0-2;99455771;99455771
0-1-2-0-0;99568541;99568541
0-1-0-2-0;99394745;99394745
0-1-0-0-2;99229768;99229768
0-0-1-2-0;99189109;99189109
0-0-1-0-2;100092676;100092676
0-0-0-1-2;99248686;99248686
1-2-3-0-0;99337767;99337767
1-2-0-3-0;99518719;99518719
1-2-0-0-3;99850839;99850839
1-0-2-3-0;100050585;100050585
1-0-2-0-3;100626043;100626043
1-0-0-2-3;100114212;100114212
0-1-2-3-0;100139111;100139111
0-1-2-0-3;100431775;100431775
0-1-0-2-3;100131242;100131242
0-0-1-2-3;100224945;100224945
1-2-3-4-0;99970997;99970997
1-2-3-0-4;100313620;100313620
1-2-0-3-4;99929755;99929755
1-0-2-3-4;100295833;100295833
0-1-2-3-4;100546151;100546151
1-2-3-4-5;100249285;100249285
