;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;7604016;7604016
0-1-0-0-0;7556093;7556093
0-0-1-0-0;6926752;6926752
0-0-0-1-0;7456942;7456942
0-0-0-0-1;6838539;6838539
1-2-0-0-0;9342595;9342595
1-0-2-0-0;9286958;9286958
1-0-0-2-0;9613601;9613601
1-0-0-0-2;9210637;9210637
0-1-2-0-0;9206264;9206264
0-1-0-2-0;9530249;9530249
0-1-0-0-2;9142150;9142150
0-0-1-2-0;9092150;9092150
0-0-1-0-2;8625091;8625091
0-0-0-1-2;9216417;9216417
1-2-3-0-0;7273973;7273973
1-2-0-3-0;7437553;7437553
1-2-0-0-3;7310247;7310247
1-0-2-3-0;7168184;7168184
1-0-2-0-3;6981321;6981321
1-0-0-2-3;7170784;7170784
0-1-2-3-0;7210031;7210031
0-1-2-0-3;7024515;7024515
0-1-0-2-3;7203461;7203461
0-0-1-2-3;6955168;6955168
1-2-3-4-0;8313130;8313130
1-2-3-0-4;8159708;8159708
1-2-0-3-4;8215744;8215744
1-0-2-3-4;8017877;8017877
0-1-2-3-4;8107876;8107876
1-2-3-4-5;7054580;7054580
