;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;127;127
0-1-0-0-0;123;123
0-0-1-0-0;123;123
0-0-0-1-0;127;127
0-0-0-0-1;125;125
1-2-0-0-0;123;123
1-0-2-0-0;121;121
1-0-0-2-0;125;125
1-0-0-0-2;122;122
0-1-2-0-0;120;120
0-1-0-2-0;123;123
0-1-0-0-2;120;120
0-0-1-2-0;122;122
0-0-1-0-2;122;122
0-0-0-1-2;124;124
1-2-3-0-0;123;123
1-2-0-3-0;123;123
1-2-0-0-3;124;124
1-0-2-3-0;121;121
1-0-2-0-3;122;122
1-0-0-2-3;126;126
0-1-2-3-0;121;121
0-1-2-0-3;120;120
0-1-0-2-3;124;124
0-0-1-2-3;122;122
1-2-3-4-0;121;121
1-2-3-0-4;120;120
1-2-0-3-4;123;123
1-0-2-3-4;121;121
0-1-2-3-4;120;120
1-2-3-4-5;120;120
