;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;1524;1524
0-1-0-0-0;1405;1405
0-0-1-0-0;1402;1402
0-0-0-1-0;1598;1598
0-0-0-0-1;1606;1606
1-2-0-0-0;1270;1270
1-0-2-0-0;1183;1183
1-0-0-2-0;1253;1253
1-0-0-0-2;1274;1274
0-1-2-0-0;1152;1152
0-1-0-2-0;1191;1191
0-1-0-0-2;1228;1228
0-0-1-2-0;1263;1263
0-0-1-0-2;1268;1268
0-0-0-1-2;1360;1360
1-2-3-0-0;1310;1310
1-2-0-3-0;1322;1322
1-2-0-0-3;1307;1307
1-0-2-3-0;1234;1234
1-0-2-0-3;1230;1230
1-0-0-2-3;1306;1306
0-1-2-3-0;1200;1200
0-1-2-0-3;1195;1195
0-1-0-2-3;1253;1253
0-0-1-2-3;1288;1288
1-2-3-4-0;1135;1135
1-2-3-0-4;1131;1131
1-2-0-3-4;1168;1168
1-0-2-3-4;1145;1145
0-1-2-3-4;1120;1120
1-2-3-4-5;1175;1175
