;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.46423;0.46423
0-1-0-0-0;0.46542;0.46542
0-0-1-0-0;0.47300;0.47300
0-0-0-1-0;0.47008;0.47008
0-0-0-0-1;0.47164;0.47164
1-2-0-0-0;0.46905;0.46905
1-0-2-0-0;0.47572;0.47572
1-0-0-2-0;0.47401;0.47401
1-0-0-0-2;0.47347;0.47347
0-1-2-0-0;0.47556;0.47556
0-1-0-2-0;0.47309;0.47309
0-1-0-0-2;0.47394;0.47394
0-0-1-2-0;0.47789;0.47789
0-0-1-0-2;0.47748;0.47748
0-0-0-1-2;0.47589;0.47589
1-2-3-0-0;0.47002;0.47002
1-2-0-3-0;0.46908;0.46908
1-2-0-0-3;0.46893;0.46893
1-0-2-3-0;0.47284;0.47284
1-0-2-0-3;0.47188;0.47188
1-0-0-2-3;0.47072;0.47072
0-1-2-3-0;0.47207;0.47207
0-1-2-0-3;0.47162;0.47162
0-1-0-2-3;0.47055;0.47055
0-0-1-2-3;0.47451;0.47451
1-2-3-4-0;0.47410;0.47410
1-2-3-0-4;0.47350;0.47350
1-2-0-3-4;0.47272;0.47272
1-0-2-3-4;0.47569;0.47569
0-1-2-3-4;0.47477;0.47477
1-2-3-4-5;0.47234;0.47234
