;average_c=_v=0_d=0.5_a=0;weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;0.03676;0.03676
0-1-0-0-0;0.06122;0.06122
0-0-1-0-0;0.06475;0.06475
0-0-0-1-0;0.03704;0.03704
0-0-0-0-1;0.05072;0.05072
1-2-0-0-0;0.06250;0.06250
1-0-2-0-0;0.07857;0.07857
1-0-0-2-0;0.05072;0.05072
1-0-0-0-2;0.07092;0.07092
0-1-2-0-0;0.08219;0.08219
0-1-0-2-0;0.06164;0.06164
0-1-0-0-2;0.08392;0.08392
0-0-1-2-0;0.07246;0.07246
0-0-1-0-2;0.07143;0.07143
0-0-0-1-2;0.05797;0.05797
1-2-3-0-0;0.06383;0.06383
1-2-0-3-0;0.06475;0.06475
1-2-0-0-3;0.05714;0.05714
1-0-2-3-0;0.07914;0.07914
1-0-2-0-3;0.07194;0.07194
1-0-0-2-3;0.04412;0.04412
0-1-2-3-0;0.07801;0.07801
0-1-2-0-3;0.08392;0.08392
0-1-0-2-3;0.05674;0.05674
0-0-1-2-3;0.07246;0.07246
1-2-3-4-0;0.07801;0.07801
1-2-3-0-4;0.08392;0.08392
1-2-0-3-4;0.06294;0.06294
1-0-2-3-4;0.07801;0.07801
0-1-2-3-4;0.08276;0.08276
1-2-3-4-5;0.08333;0.08333
